X (mm)	Y (mm)	Z (mm)	tan(thetaX)	tan(thetaY)	devZ (mm)	devTanX	devTanY
-310.06134969325154	1071.5882352941178	0.0	0.0	-0.0003904724065822644	0.0	0.009195515616729606	-0.0003904724065822644
-310.06134969325154	1061.6470588235293	0.0	0.0	-0.0008927614933280736	0.0	0.009333304902175247	-0.0008927614933280736
-310.06134969325154	1051.7058823529412	0.0	0.0	-0.0013442836524053272	0.0	0.009441876131309085	-0.0013442836524053272
-310.06134969325154	1041.7647058823532	0.0	0.0	-0.0016677464492969327	0.0	0.009516416861120433	-0.0016677464492969327
-310.06134969325154	1031.8235294117649	0.0	0.0	-0.0018291682821382127	0.0	0.009553916198885308	-0.0018291682821382127
-310.06134969325154	1021.8823529411765	0.0	0.0	-0.001837878781495335	0.0	0.009553164836881546	-0.001837878781495335
-310.06134969325154	1011.9411764705883	0.0	0.0	-0.0017451744616113507	0.0	0.009514755068722815	-0.0017451744616113507
-310.06134969325154	1002.0000000000002	0.0	0.0	-0.0016202873437081823	0.0	0.009441080785038298	-0.0016202873437081823
-310.06134969325154	992.0588235294119	0.0	0.0	-0.0015165018824839047	0.0	0.009336337449376314	-0.0015165018824839047
-310.06134969325154	982.1176470588236	0.0	0.0	-0.0014663734866893472	0.0	0.009206435855486217	-0.0014663734866893472
-310.06134969325154	972.1764705882355	0.0	0.0	-0.001481726942521261	0.0	0.009057978672127926	-0.001481726942521261
-310.06134969325154	962.2352941176472	0.0	0.0	-0.0015536627836800073	0.0	0.00889717722915989	-0.0015536627836800073
-310.06134969325154	952.294117647059	0.0	0.0	-0.001655446078277361	0.0	0.008729745352876631	-0.001655446078277361
-310.06134969325154	942.3529411764707	0.0	0.0	-0.001757560154615525	0.0	0.008560899365534107	-0.001757560154615525
-310.06134969325154	932.4117647058825	0.0	0.0	-0.0018359548241370413	0.0	0.008395358091475534	-0.0018359548241370413
-310.06134969325154	922.4705882352941	0.0	0.0	-0.0018723510416500152	0.0	0.008237342867546254	-0.0018723510416500152
-310.06134969325154	912.5294117647061	0.0	0.0	-0.0018542409329757226	0.0	0.00809057755587788	-0.0018542409329757226
-310.06134969325154	902.5882352941177	0.0	0.0	-0.001774887820873012	0.0	0.007958288557501563	-0.001774887820873012
-310.06134969325154	892.6470588235296	0.0	0.0	-0.0016333262343484055	0.0	0.007843204825621291	-0.0016333262343484055
-310.06134969325154	882.7058823529412	0.0	0.0	-0.0014343618939118281	0.0	0.007747557877712758	-0.0014343618939118281
-310.06134969325154	872.7647058823532	0.0	0.0	-0.0011883937996414811	0.0	0.007673081805895606	-0.0011883937996414811
-310.06134969325154	862.8235294117648	0.0	0.0	-0.0009086635465761648	0.0	0.007621013285247448	-0.0009086635465761648
-310.06134969325154	852.8823529411767	0.0	0.0	-0.0006077388030134546	0.0	0.007592091579888442	-0.0006077388030134546
-310.06134969325154	842.9411764705883	0.0	0.0	-0.00029707398513239473	0.0	0.007586558546770574	-0.00029707398513239473
-310.06134969325154	833.0000000000001	0.0	0.0	1.298977189858669e-05	0.0	0.007604158637168329	1.298977189858669e-05
-310.06134969325154	823.0588235294118	0.0	0.0	0.00031322459401186945	0.0	0.007644138895901497	0.00031322459401186945
-310.06134969325154	813.1176470588236	0.0	0.0	0.0005955158507955006	0.0	0.0077052489583436645	0.0005955158507955006
-310.06134969325154	803.1764705882354	0.0	0.0	0.0008528621438408311	0.0	0.007785741045299011	0.0008528621438408311
-310.06134969325154	793.2352941176472	0.0	0.0	0.0010793753022880573	0.0	0.007883369955882472	0.0010793753022880573
-310.06134969325154	783.2941176470589	0.0	0.0	0.0012702803852652135	0.0	0.007995393058628775	0.0012702803852652135
-310.06134969325154	773.3529411764707	0.0	0.0	0.0014219156896231853	0.0	0.008118570281195595	0.0014219156896231853
-310.06134969325154	763.4117647058824	0.0	0.0	0.0015317327605960127	0.0	0.008249164099221336	0.0015317327605960127
-310.06134969325154	753.4705882352943	0.0	0.0	0.0015982964027809817	0.0	0.008382956367821501	0.0015982964027809817
-310.06134969325154	743.529411764706	0.0	0.0	0.0016212846890872148	0.0	0.008515577038097891	0.0016212846890872148
-310.06134969325154	733.5882352941178	0.0	0.0	0.0016014889659427501	0.0	0.0086429950779017	0.0016014889659427501
-310.06134969325154	723.6470588235295	0.0	0.0	0.0015408138539400444	0.0	0.008761592794918694	0.0015408138539400444
-310.06134969325154	713.7058823529413	0.0	0.0	0.0014422772440793427	0.0	0.00886816588777106	0.0014422772440793427
-310.06134969325154	703.764705882353	0.0	0.0	0.0013100102906750946	0.0	0.008959923455470215	0.0013100102906750946
-310.06134969325154	693.8235294117649	0.0	0.0	0.0011492390040435225	0.0	0.009034488007728221	0.0011492390040435225
-310.06134969325154	683.8823529411766	0.0	0.0	0.0009658107901309214	0.0	0.009089895475311171	0.0009658107901309214
-310.06134969325154	673.9411764705884	0.0	0.0	0.000765355708325482	0.0	0.009124595219648318	0.000765355708325482
-310.06134969325154	664.0000000000001	0.0	0.0	0.0005531309665050451	0.0	0.00913745004098186	0.0005531309665050451
-310.06134969325154	654.0588235294119	0.0	0.0	0.0003340206325795855	0.0	0.00912773618445276	0.0003340206325795855
-310.06134969325154	644.1176470588236	0.0	0.0	0.00011253563810329681	0.0	0.009095143343663807	0.00011253563810329681
-310.06134969325154	634.1764705882355	0.0	0.0	-0.00010718621749418415	0.0	0.009039774661434418	-0.00010718621749418415
-310.06134969325154	624.2352941176472	0.0	0.0	-0.0003213802627777731	0.0	0.008962146727651943	-0.0003213802627777731
-310.06134969325154	614.294117647059	0.0	0.0	-0.0005266549508310813	0.0	0.00886318957432129	-0.0005266549508310813
-310.06134969325154	604.3529411764707	0.0	0.0	-0.0007199918567966195	0.0	0.008744246668105176	-0.0007199918567966195
-310.06134969325154	594.4117647058825	0.0	0.0	-0.0008987456766032309	0.0	0.00860707490082054	-0.0008987456766032309
-310.06134969325154	584.4705882352943	0.0	0.0	-0.0010606442268794511	0.0	0.008453844578501395	-0.0010606442268794511
-310.06134969325154	574.5294117647061	0.0	0.0	-0.00120378844590951	0.0	0.00828713856258263	-0.00120378844590951
-310.06134969325154	564.5882352941178	0.0	0.0	-0.0013266523953850483	0.0	0.008109852795475568	-0.0013266523953850483
-310.06134969325154	554.6470588235296	0.0	0.0	-0.0014280832626433087	0.0	0.007924841517980653	-0.0014280832626433087
-310.06134969325154	544.7058823529413	0.0	0.0	-0.0015073013630615573	0.0	0.00773477960544671	-0.0015073013630615573
-310.06134969325154	534.764705882353	0.0	0.0	-0.0015639001422941238	0.0	0.007542159948424354	-0.0015639001422941238
-310.06134969325154	524.8235294117648	0.0	0.0	-0.0015978461780871143	0.0	0.007349293455536671	-0.0015978461780871143
-310.06134969325154	514.8823529411766	0.0	0.0	-0.0016094791814786507	0.0	0.00715830905730285	-0.0016094791814786507
-310.06134969325154	504.94117647058835	0.0	0.0	-0.0015995116091398179	0.0	0.006971153710538123	-0.0015995116091398179
-310.06134969325154	495.0000000000001	0.0	0.0	-0.001568977465798575	0.0	0.006789592403012394	-0.001568977465798575
-310.06134969325154	485.0588235294119	0.0	0.0	-0.0015190422501634852	0.0	0.006615208158110254	-0.0015190422501634852
-310.06134969325154	475.11764705882365	0.0	0.0	-0.0014509263556372377	0.0	0.006449402039292874	-0.0014509263556372377
-310.06134969325154	465.1764705882354	0.0	0.0	-0.0013659034882563827	0.0	0.006293393154215887	-0.0013659034882563827
-310.06134969325154	455.2352941176472	0.0	0.0	-0.0012653006654785453	0.0	0.006148218658404839	-0.0012653006654785453
-310.06134969325154	445.29411764705895	0.0	0.0	-0.0011504982150433466	0.0	0.006014733758430361	-0.0011504982150433466
-310.06134969325154	435.3529411764707	0.0	0.0	-0.0010229297739816632	0.0	0.005893611714558295	-0.0010229297739816632
-310.06134969325154	425.4117647058825	0.0	0.0	-0.0008840822878338855	0.0	0.005785343842875766	-0.0008840822878338855
-310.06134969325154	415.47058823529426	0.0	0.0	-0.0007354960101224214	0.0	0.005690239516912811	-0.0007354960101224214
-310.06134969325154	405.529411764706	0.0	0.0	-0.0005787645021071751	0.0	0.005608426168791788	-0.0005787645021071751
-310.06134969325154	395.5882352941178	0.0	0.0	-0.00041553463283538117	0.0	0.0055398493435272495	-0.00041553463283538117
-310.06134969325154	385.64705882352956	0.0	0.0	-0.00024750657947954306	0.0	0.00548428566513217	-0.00024750657947954306
