X (mm)	Y (mm)	Z (mm)	tan(thetaX)	tan(thetaY)	devZ (mm)	devTanX	devTanY
-300.0	1151.1176470588236	0.0	0.0	-2.12338777018088e-05	0.0	0.004881083127910752	-2.12338777018088e-05
-300.0	1141.1764705882354	0.0	0.0	0.0001573819708366632	0.0	0.004876267369271062	0.0001573819708366632
-300.0	1131.235294117647	0.0	0.0	0.00040394570634068197	0.0	0.004894151074879956	0.00040394570634068197
-300.0	1121.294117647059	0.0	0.0	0.0006860852240636489	0.0	0.004933636581027214	0.0006860852240636489
-300.0	1111.3529411764707	0.0	0.0	0.0009746713203702724	0.0	0.0049929430952165175	0.0009746713203702724
-300.0	1101.4117647058824	0.0	0.0	0.0012470601129787413	0.0	0.005069746742567654	0.0012470601129787413
-300.0	1091.4705882352941	0.0	0.0	0.0014870463229920553	0.0	0.0051613206114057356	0.0014870463229920553
-300.0	1081.529411764706	0.0	0.0	0.0016840337204020379	0.0	0.005264674798748009	0.0016840337204020379
-300.0	1071.5882352941178	0.0	0.0	0.0018321934407027913	0.0	0.005376696456358111	0.0018321934407027913
-300.0	1061.6470588235293	0.0	0.0	0.0019296223052754733	0.0	0.005494289837966313	0.0019296223052754733
-300.0	1051.7058823529412	0.0	0.0	0.001977501134872631	0.0	0.0056145153022601375	0.001977501134872631
-300.0	1041.7647058823532	0.0	0.0	0.001979253051247674	0.0	0.0057346978616818365	0.001979253051247674
-300.0	1031.8235294117649	0.0	0.0	0.0019397017676384398	0.0	0.005852452827632955	0.0019397017676384398
-300.0	1021.8823529411765	0.0	0.0	0.0018642299785678299	0.0	0.005965676449728634	0.0018642299785678299
-300.0	1011.9411764705883	0.0	0.0	0.0017579886684581604	0.0	0.006072535053238334	0.0017579886684581604
-300.0	1002.0000000000002	0.0	0.0	0.0016255519194174847	0.0	0.00617145417690592	0.0016255519194174847
-300.0	992.0588235294119	0.0	0.0	0.0014710980747668276	0.0	0.006261107710966133	0.0014710980747668276
-300.0	982.1176470588236	0.0	0.0	0.0012986815452648373	0.0	0.0063404070351845395	0.0012986815452648373
-300.0	972.1764705882355	0.0	0.0	0.0011125035754308433	0.0	0.006408490156764349	0.0011125035754308433
-300.0	962.2352941176472	0.0	0.0	0.0009171144494011836	0.0	0.006464710847985517	0.0009171144494011836
-300.0	952.294117647059	0.0	0.0	0.0007173908755322905	0.0	0.006508627783468478	0.0007173908755322905
-300.0	942.3529411764707	0.0	0.0	0.0005183996477394521	0.0	0.006539993676984964	0.0005183996477394521
-300.0	932.4117647058825	0.0	0.0	0.0003252548933846774	0.0	0.006558744417769738	0.0003252548933846774
-300.0	922.4705882352941	0.0	0.0	0.00014297532160316247	0.0	0.006564988206318346	0.00014297532160316247
-300.0	912.5294117647061	0.0	0.0	-2.3658528708247382e-05	0.0	0.006558994689684999	-2.3658528708247382e-05
-300.0	902.5882352941177	0.0	0.0	-0.00017024704201357407	0.0	0.006541184096320574	-0.00017024704201357407
-300.0	892.6470588235296	0.0	0.0	-0.0002929142808338022	0.0	0.006512116370512054	-0.0002929142808338022
-300.0	882.7058823529412	0.0	0.0	-0.000388450742068435	0.0	0.006472480306500894	-0.000388450742068435
-300.0	872.7647058823532	0.0	0.0	-0.0004544557425529798	0.0	0.006423082682368429	-0.0004544557425529798
